District_Name,Crop_Year,Season,Crop,Area,Production
SHIMOGA,2006,Whole Year ,Sugarcane,7666,808380
SHIMOGA,2007,Whole Year ,Sugarcane,9044,790446
SHIMOGA,2008,Whole Year ,Sugarcane,2625,261844
SHIMOGA,2009,Whole Year ,Sugarcane,3739,454662
SHIMOGA,2010,Whole Year ,Sugarcane,5900,650180
SHIMOGA,2011,Whole Year ,Sugarcane,4197,442574
SHIMOGA,2012,Whole Year ,Sugarcane,3943,449502
SHIMOGA,2013,Whole Year ,Sugarcane,4915,471594
SHIMOGA,2014,Whole Year ,Sugarcane,3940,393015
TUMKUR,1997,Whole Year ,Sugarcane,1732,171122
TUMKUR,1999,Whole Year ,Sugarcane,1674,197197
TUMKUR,2000,Whole Year ,Sugarcane,2327,238750
TUMKUR,2001,Whole Year ,Sugarcane,1736,140182
TUMKUR,2002,Whole Year ,Sugarcane,1426,131406
TUMKUR,2003,Whole Year ,Sugarcane,574,38171
TUMKUR,2005,Whole Year ,Sugarcane,267,23589
TUMKUR,2006,Whole Year ,Sugarcane,1560,136344
TUMKUR,2007,Whole Year ,Sugarcane,2003,169354
TUMKUR,2008,Whole Year ,Sugarcane,2063,178346
TUMKUR,2009,Whole Year ,Sugarcane,1683,188664
TUMKUR,2010,Whole Year ,Sugarcane,1650,161452
TUMKUR,2011,Whole Year ,Sugarcane,2066,178606
TUMKUR,2012,Whole Year ,Sugarcane,1747,147709
TUMKUR,2013,Whole Year ,Sugarcane,1556,122691
TUMKUR,2014,Whole Year ,Sugarcane,1670,174515
UDUPI,2000,Whole Year ,Sugarcane,1374,127919
UDUPI,2001,Whole Year ,Sugarcane,933,75340
UDUPI,2002,Whole Year ,Sugarcane,345,29170
UDUPI,2003,Whole Year ,Sugarcane,29,1901
UDUPI,2005,Whole Year ,Sugarcane,11,972
UDUPI,2006,Whole Year ,Sugarcane,10,874
UDUPI,2007,Whole Year ,Sugarcane,7,592
UDUPI,2008,Whole Year ,Sugarcane,10,864
UDUPI,2009,Whole Year ,Sugarcane,56,5373
UDUPI,2010,Whole Year ,Sugarcane,68,6589
UDUPI,2011,Whole Year ,Sugarcane,56,5107
UDUPI,2012,Whole Year ,Sugarcane,66,5518
UDUPI,2013,Whole Year ,Sugarcane,55,4912
UDUPI,2014,Whole Year ,Sugarcane,42,3830
UTTAR KANNAD,1999,Whole Year ,Sugarcane,1616,164266
UTTAR KANNAD,2000,Whole Year ,Sugarcane,1361,126709
UTTAR KANNAD,2001,Whole Year ,Sugarcane,1358,109658
UTTAR KANNAD,2002,Whole Year ,Sugarcane,1033,64769
UTTAR KANNAD,2003,Whole Year ,Sugarcane,893,58536
UTTAR KANNAD,2005,Whole Year ,Sugarcane,1029,90912
UTTAR KANNAD,2006,Whole Year ,Sugarcane,1247,108988
UTTAR KANNAD,2007,Whole Year ,Sugarcane,1484,125472
UTTAR KANNAD,2008,Whole Year ,Sugarcane,1242,107371
UTTAR KANNAD,2009,Whole Year ,Sugarcane,1256,105002
UTTAR KANNAD,2010,Whole Year ,Sugarcane,1290,137256
UTTAR KANNAD,2011,Whole Year ,Sugarcane,2744,151194
UTTAR KANNAD,2012,Whole Year ,Sugarcane,3079,327606
UTTAR KANNAD,2013,Whole Year ,Sugarcane,5324,419797
UTTAR KANNAD,2014,Whole Year ,Sugarcane,6207,483525
YADGIR,2010,Whole Year ,Sugarcane,135,13082
YADGIR,2011,Whole Year ,Sugarcane,278,25354
YADGIR,2012,Whole Year ,Sugarcane,1171,97896
YADGIR,2013,Whole Year ,Sugarcane,1207,107785
YADGIR,2014,Whole Year ,Sugarcane,862,78614
